,ae264e3637204a6fb9bb56bc8210ddfd,4d5c57ea9a6940dd891ad53e9dbe8da0,3f207df678b143eea3cee63160fa8bed,9b98b8c7a33c4b65b9aebfe6a799e6d9,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,fafdcd668e3743c1bb461111dcafc2a4,5a8bc65990b245e5a138643cd4eb9837,f19421c1d4aa40978ebb69ca19b0e20d,2906b810c7d4411798c6938adc9daaa5,trans_total,avg_trans,trans_offer_ratio,age,became_member_on,gender,income,member_since_year,member_for_days
a448667f336b42c9a66fc5ffd5d73772,0.0,,,,,,,0.0,,,20.78,2.9695714285714288,0.001,61.0,2018-05-01,F,40000.0,2018,148.0
440cf1fd7580490c971d8c651ed962af,,,,,,1.0,,,,,300.68,18.7935,0.1447075961154716,40.0,2016-05-04,F,71000.0,2016,875.0
4b0da7e80e5945209a1fdddfe813dbe0,0.5,,1.0,,1.0,,,,,,211.29000000000002,30.18528571428572,0.30087221354536414,64.0,2017-09-09,M,100000.0,2017,382.0
c27e0d6ab72c455a8bb66d980963de60,,0.0,1.0,,,,1.0,0.5,,,155.46,19.433500000000002,0.0866812041682748,78.0,2017-06-16,F,71000.0,2017,467.0
f806632c011441378d4646567f357a21,,1.0,1.0,,,,1.0,,,,91.4,18.281000000000002,0.6514376367614879,42.0,2013-08-11,M,69000.0,2013,1872.0
d058f73bf8674a26a95227db098147b1,,1.0,,0.0,1.0,,,,,1.0,75.62,25.207666666666668,1.001,56.0,2018-04-28,F,88000.0,2018,151.0
c6c9884912c645429f3333f912b55f44,,,,,,0.0,1.0,,,0.0,17.9,1.9898888888888886,0.630050279329609,33.0,2017-09-26,F,52000.0,2017,365.0
7429a044884842d6862f516c38b1156f,,0.0,,,,,,,,,2.88,2.881,0.001,46.0,2017-09-11,F,59000.0,2017,380.0
ebe7ef46ea6f4963a7dd49f501b26779,,,,0.0,,,1.0,1.0,,1.0,52.08,4.007153846153846,0.41401843317972353,59.0,2015-01-21,M,41000.0,2015,1344.0
5917d13f6fa04286abdf95f4d5cefb1e,,,,,,1.0,,,1.0,,206.88,25.861,0.3970750193348801,67.0,2014-08-23,M,96000.0,2014,1495.0
d1ede868e29245ea91818a903fec04c6,,0.0,,,,,,1.0,,,18.740000000000002,3.749,0.001,53.0,2017-09-16,O,52000.0,2017,375.0
1e9420836d554513ab90eba98552d0a9,0.0,1.0,1.0,,1.0,1.0,,,,,106.38,17.731,0.7166420379770634,22.0,2017-09-25,M,70000.0,2017,366.0
868317b9be554cb18e50bc68484749a2,,,,,,,,0.0,1.0,,81.92,20.481,0.2701650390625,96.0,2017-11-17,F,89000.0,2017,313.0
f082d80f0aac47a99173ba8ef8fc1909,0.0,,,,,,,0.0,0.0,,40.94,2.925285714285714,0.001,40.0,2016-07-09,M,33000.0,2016,809.0
102e9454054946fda62242d2e176fdce,1.0,1.0,1.0,1.0,,,,,,,213.49,15.250285714285715,0.33370879198088904,69.0,2016-08-14,F,57000.0,2016,773.0
8dabe2142cdf4013a6f4786edf8ab00f,,,,,1.0,,,,,,167.67000000000002,18.631000000000004,0.25936464483807475,56.0,2014-05-11,M,68000.0,2014,1599.0
9f30b375d7bd4c62a884ffe7034e09ee,,,,,,1.0,1.0,1.0,,,73.38000000000001,3.4952857142857146,0.30217198146633956,26.0,2017-08-12,F,63000.0,2017,410.0
6e014185620b49bd98749f728747572f,,,,,,1.0,,,1.0,1.0,155.53,15.554,0.8391019738957114,75.0,2015-11-12,M,40000.0,2015,1049.0
02c083884c7d45b39cc68e1314fec56c,0.0,,,,,,,,,,29.89,2.9899999999999998,0.001,20.0,2016-07-11,F,30000.0,2016,807.0
c0d210398dee4a0895b24444a5fcd1d2,,0.5,1.0,1.0,,1.0,,,,,61.25,7.65725,0.6083469387755102,45.0,2018-07-07,M,33000.0,2018,81.0
8b70ca1f5f5a45bdac2ac2f990b71526,,,,,,1.0,,,0.0,,234.43,29.304750000000002,0.12483227402636182,61.0,2017-11-21,M,98000.0,2017,309.0
8e7c7465e98c43d8a01f51e2b5c29542,0.0,,,,,0.0,,,,,32.72,2.7276666666666665,0.001,69.0,2013-09-18,F,37000.0,2013,1834.0
57dd18ec5ddc46828afb81ec5977bef2,,1.0,1.0,,,,1.0,,1.0,,249.4,27.712111111111113,0.3277842822774659,54.0,2017-02-07,F,80000.0,2017,596.0
be8a5d1981a2458d90b255ddc7e0d174,,0.0,,,,,,1.0,1.0,,51.91000000000001,3.7088571428571435,0.1389310344827586,39.0,2014-05-27,M,51000.0,2014,1583.0
3f89b8f80ebc4f94b7074f28071aa8d4,0.0,,,,,1.0,,,,,62.510000000000005,3.473777777777778,0.1460967845144777,41.0,2015-09-21,F,41000.0,2015,1101.0
a3b9b4bf115e4564933ea2e4bc936843,1.0,,,0.0,,,,,,,152.0,10.134333333333332,0.8859342105263157,79.0,2015-04-15,F,48000.0,2015,1260.0
7584948ea6d04f94b8798624706261c2,0.0,0.0,,1.0,,,,1.0,,,56.08,11.216999999999999,0.3087746077032811,66.0,2018-04-08,F,38000.0,2018,171.0
e9844d5beac04bf8b8d3ad18f7e37fca,,,,,,,,,,,87.10999999999999,12.445285714285712,0.001,56.0,2017-06-26,F,52000.0,2017,457.0
f247806381704ea58c1b06f60602a6ae,,,,1.0,,1.0,,1.0,,,150.23000000000002,11.557153846153847,0.14963875391067027,39.0,2014-07-23,F,56000.0,2014,1526.0
9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,,1.0,,,1.0,1.0,,,,1.0,320.48,26.707666666666668,0.30807064403394907,42.0,2016-01-17,M,96000.0,2016,983.0
fe8264108d5b4f198453bbb1fa7ca6c9,,1.0,,,1.0,,1.0,,1.0,,225.55,28.194750000000003,0.4028621148304145,78.0,2016-10-09,F,93000.0,2016,717.0
186d6403f5824c739555b732f4af3f16,0.0,,,,,,0.0,,,,17.0,2.8343333333333334,0.001,45.0,2017-10-06,M,48000.0,2017,355.0
8a87fda1a6644337b4394a4c3cd0946c,,,,,,,0.0,1.0,,,38.169999999999995,3.1818333333333326,0.001,29.0,2016-04-30,M,50000.0,2016,879.0
b7a66e629b134079a9bc7120c7b9947b,,,,,,1.0,,,1.0,,150.23000000000002,8.347111111111111,0.2504841243426745,44.0,2017-09-24,M,35000.0,2017,367.0
ca82e1ebc759402c8ab95c341755bdf1,1.0,,,,,,1.0,,,1.0,121.61999999999999,13.514333333333331,0.3982208518335801,63.0,2018-07-13,M,56000.0,2018,75.0
54890f68699049c2a04d415abc25e717,,,,,,1.0,,0.0,,,118.85000000000001,16.979571428571433,0.1323420277660917,36.0,2017-12-28,M,56000.0,2017,272.0
ab66a363907e43e9a7cd535f1578245b,,0.0,,,,1.0,,,,,22.65,3.776,0.37892494481236205,76.0,2018-03-14,F,47000.0,2018,196.0
d3f146b615514c6380b168bb3df5f05b,,,,,,1.0,,,1.0,1.0,177.18,22.148500000000002,0.36859227903826614,68.0,2017-08-23,M,87000.0,2017,399.0
a5a6ef2b78a04ddc9f374dd7c7f60bff,,,,,,,,1.0,,1.0,135.54000000000002,12.322818181818183,0.09248590821897594,75.0,2015-11-29,M,52000.0,2015,1032.0
2e87ba0fba1a4d1a8614af771f07a94d,,,,,,1.0,1.0,1.0,1.0,,200.77999999999997,16.732666666666667,0.3457554537304513,67.0,2017-02-26,M,76000.0,2017,577.0
d8af520c4a8a4c77b921098d7d838c4d,,0.0,,,,,,1.0,0.0,,23.810000000000002,2.1655454545454544,0.001,77.0,2016-07-30,M,51000.0,2016,788.0
39dbcf43e24d41f4bbf0f134157e0e1e,,,,,,,,0.0,,1.0,110.92,13.866,0.23900937612693832,76.0,2014-08-31,M,64000.0,2014,1487.0
b62e66ca4dcf4df39fd522e750a88d81,,,,,,,,,,,27.24,27.241,0.001,57.0,2018-02-07,M,98000.0,2018,231.0
8c7df0c393db488aac3e58b06a7ea5f9,1.0,1.0,,,,1.0,,1.0,,,167.88,18.654333333333334,0.34725923278532284,53.0,2016-07-06,F,72000.0,2016,812.0
3a1242dda16248728e350c4bdeb21972,1.0,1.0,,1.0,,,,,,,303.2,30.321,0.40327572559366753,53.0,2016-12-31,F,117000.0,2016,634.0
8045834137dc47faa24f2c4547969f33,,,,,,,1.0,,0.0,,20.18,2.5235,0.5223082259663032,53.0,2017-10-26,F,55000.0,2017,335.0
fb98ebe9e3e14afaa5b5db182b00b7ec,,,0.0,,,1.0,0.5,,,0.0,67.25,33.626,0.4973568773234201,61.0,2017-11-10,F,112000.0,2017,320.0
5cd6577aca5d4b419e452f9f505ffce7,,,,,,,,1.0,0.0,1.0,155.73,19.46725,0.14406813073909974,67.0,2016-09-10,F,77000.0,2016,746.0
99e9a1916821461ebd5d5048dc2dff7d,,,,,1.0,,1.0,,1.0,,290.41999999999996,19.362333333333332,0.21462165140141867,58.0,2018-01-25,F,85000.0,2018,244.0
e528ceb341964128aaf58a59733ec2af,,,,,,0.0,0.0,,,,17.130000000000003,3.4270000000000005,0.001,46.0,2018-06-29,F,36000.0,2018,89.0
faf74115a43b4f718f4d4c0de116ee8a,0.0,,,,,,,0.0,,,11.95,2.9884999999999997,0.001,30.0,2017-12-02,M,41000.0,2017,298.0
0b73997a269247088b2a63355f53ee58,1.0,,,,,0.0,,,,,45.400000000000006,22.701000000000004,0.506726872246696,59.0,2017-08-20,M,89000.0,2017,402.0
f44b44b53c0548d5b27c812fda4c358a,,,,,0.0,,1.0,,1.0,,75.96000000000001,3.7990000000000004,0.4690094786729858,51.0,2015-12-31,M,41000.0,2015,1000.0
6e04a90a0e074496b5f229eb1f553433,,,,,,,1.0,1.0,0.0,,29.560000000000006,2.4643333333333337,0.34233964817320695,27.0,2018-01-10,M,35000.0,2018,259.0
262ad0fb526a4d53b572007da60cce24,,,,,,,,0.0,0.0,,8.17,1.6349999999999998,0.001,40.0,2018-02-27,M,53000.0,2018,211.0
a2b7a0b3487a4d779ddf4e11a034e2ee,,,,,,1.0,,,,0.0,109.16000000000001,27.291000000000004,0.22260131916452913,73.0,2018-04-19,F,91000.0,2018,160.0
2c5c63e5124e417b8504f76c868a4190,,,,,,1.0,1.0,,,,298.3,29.831000000000003,0.45822427086825335,74.0,2015-12-24,F,107000.0,2015,1007.0
9d6da0a2ac54474e8ec986fd21cecef0,,,1.0,,,1.0,,,,,136.94,19.563857142857145,0.12901226814663358,42.0,2015-11-21,M,66000.0,2015,1040.0
571b739ada3041fb8fbd20f23ce034f7,,1.0,1.0,,,,,0.0,,,126.94,12.694999999999999,0.3773195210335592,78.0,2015-11-11,M,58000.0,2015,1050.0
816afd4505d047cf893275fbfe825590,0.0,,,,,,1.0,,,,57.029999999999994,3.169333333333333,0.20247290899526568,54.0,2016-12-25,F,53000.0,2016,640.0
13b7b2eccf664a329d83d2a238a9a11d,,,,,,0.0,,,0.0,,0.0,,,70.0,2018-06-13,F,74000.0,2018,105.0
68eee228713c429ebe1300155ad1fb33,1.0,,,1.0,,1.0,,0.5,,,184.78,18.479000000000003,0.27467680484900964,49.0,2017-04-08,F,57000.0,2017,536.0
ffc6c9fbe34b4578911dcdf6745b4c74,,,,0.0,,0.0,,,,,0.0,,,62.0,2018-04-10,F,57000.0,2018,169.0
cbebad9819494b479dbf0c1207b4c0c5,,1.0,,,1.0,1.0,1.0,,,,140.34,15.594333333333333,0.5692627903662534,64.0,2017-03-05,M,70000.0,2017,570.0
4264b1d027cc493281bba4f44bfedaca,,,,,,1.0,,,,1.0,248.63,27.626555555555555,0.17499348429393077,89.0,2017-11-14,F,87000.0,2017,316.0
0ba6e2ad781c4429afd26cf0b35f2d11,,0.0,,,,,1.0,0.5,,,23.43,2.6043333333333334,0.053069995731967565,73.0,2018-04-01,M,51000.0,2018,178.0
b5abc1e85be84f43937b4fca0ad238cb,,,,,,1.0,,0.0,,1.0,297.29,24.77516666666667,0.1407961586329846,50.0,2017-05-06,F,93000.0,2017,508.0
1c587de019994f93a242c6864fd7bc55,,,,,,,,,,,80.03,26.677666666666667,0.001,90.0,2015-12-10,F,98000.0,2015,1021.0
3f4e408b0b2d4ea89dd16d7437d867c1,,,,,,,,,,,34.04,17.021,0.001,68.0,2016-07-31,F,84000.0,2016,787.0
13bda8fbd70a4814b956df1d55320398,,,,0.0,,,,,1.0,,44.13999999999999,3.6793333333333327,0.1580004531037608,60.0,2017-02-06,M,64000.0,2017,597.0
b19c8e7ac2ff40ae92b4fcf3247f8912,0.0,0.0,,,,,0.0,,,,11.51,1.9193333333333331,0.001,45.0,2017-08-15,M,54000.0,2017,407.0
21c73d53e2a74bb1b4dc172bff2b1aad,,1.0,1.0,,,1.0,,,1.0,,200.93,11.163777777777778,0.2790570347882347,66.0,2016-01-24,M,49000.0,2016,976.0
1abeb816d9fa49b4b5b5ae51bc3d24c3,,,,,,,1.0,,,,202.75,18.432818181818185,0.11192478421701603,19.0,2016-10-15,F,73000.0,2016,711.0
92e07c49ee7448fca6e48df0c96e3eec,,,1.0,,,1.0,,,,,163.53,16.354000000000003,0.1234240200574818,66.0,2018-02-16,F,58000.0,2018,222.0
f8aedd0cbea0419c806842b4265b82e5,1.0,1.0,,,,1.0,1.0,,1.0,,201.92000000000002,16.82766666666667,0.4613803486529318,72.0,2016-08-11,F,72000.0,2016,776.0
a9780228a1d04539afdee8b745e4be10,,,1.0,,1.0,,1.0,,,,224.76,17.29023076923077,0.31698149136857096,76.0,2016-04-07,M,63000.0,2016,902.0
94f14dcfedba47e18b7efca13dd7574b,,1.0,,,,,,,,1.0,117.91999999999999,19.654333333333334,0.5941139755766622,52.0,2017-05-15,M,78000.0,2017,499.0
8a4bc602e4424ab6b16f0b907f2f22af,0.0,0.0,,,,,,,,,30.729999999999997,6.146999999999999,0.001,55.0,2017-12-10,M,31000.0,2017,290.0
6d28f18e91324d358d69d1e4b01f1ace,,1.0,,,,,,1.0,1.0,1.0,705.5000000000001,58.792666666666676,0.07810843373493974,39.0,2017-09-19,F,60000.0,2017,372.0
52f0bd64403f4958ab8fe9a6947c13c3,,1.0,,,,,1.0,,,,163.71000000000004,10.232875000000002,0.1965286787612241,45.0,2016-01-26,F,44000.0,2016,974.0
93e67942586e43fb87d5ffb1ead8db41,1.0,1.0,,,,,1.0,,1.0,,184.82,23.1035,0.47989838762038745,57.0,2017-07-04,F,114000.0,2017,449.0
e641af076cc54529bec6ab61fc25f4a6,,,,0.0,,,,,,,6.86,2.2876666666666665,0.001,74.0,2018-07-12,M,48000.0,2018,76.0
716a961d2afb4c1d8307522a8cbb4f07,,,,,,1.0,1.0,,,,275.60999999999996,12.52872727272727,0.1471848263851094,18.0,2016-07-27,M,47000.0,2016,791.0
13033baa9d294c3c9165a00d71b72614,0.0,,,,,1.0,,,1.0,1.0,138.84,27.769000000000002,0.5939847306251801,53.0,2017-09-27,M,96000.0,2017,364.0
15953663abf54181adf1fd4c39442b85,,,,,,,,,,1.0,112.04,28.011000000000003,0.35792609782220636,59.0,2017-09-10,F,98000.0,2017,381.0
0ac5ffb0f1624297a453494b845e1a91,,0.0,,,,,,,,,34.22,3.4229999999999996,0.001,57.0,2014-11-04,M,46000.0,2014,1422.0
1a353048b0884fc5a0afa27677ef1e80,,,,,,0.5,,0.5,,,40.94,5.849571428571428,0.40085344406448464,51.0,2017-08-13,F,56000.0,2017,409.0
2cf5895bddf9467e878c6d51a622d5fb,0.0,0.0,,1.0,,,1.0,,1.0,,51.37000000000001,7.33957142857143,0.586750437998832,64.0,2017-10-20,F,37000.0,2017,341.0
6747dda08bed46298c23e05b64820a3a,,,1.0,,,,,,0.0,,30.139999999999997,2.512666666666666,0.001,71.0,2017-01-29,M,57000.0,2017,605.0
f35b342b24734da18a830bb9329a4fbd,1.0,0.0,,,,,,1.0,,1.0,50.349999999999994,12.588499999999998,0.6057666335650447,64.0,2017-04-21,F,66000.0,2017,523.0
4c29d22467af4d7faa137c4eedd65340,0.0,,,,,0.0,,1.0,0.0,,16.77,3.355,0.001,83.0,2018-01-27,M,46000.0,2018,242.0
e997a086fc13446da2aa9070d98d191a,0.0,,,,,0.0,,0.0,,,13.799999999999999,3.4509999999999996,0.001,26.0,2017-12-11,M,71000.0,2017,289.0
17af917bb842480e925e49a8ca08c1f8,0.0,,,,,0.5,0.0,,,,30.479999999999997,2.5409999999999995,0.43472703412073493,29.0,2018-03-21,F,58000.0,2018,189.0
bf8d7498eb32431ab3fedaa14b7d3a0d,,,,0.0,,0.0,,,0.0,,2.03,2.0309999999999997,0.001,43.0,2017-09-15,M,70000.0,2017,376.0
3dae0eadb47149b0b9b548d14548524b,1.0,,,,,,1.0,1.0,,1.0,124.82000000000001,17.832428571428572,0.5094121134433585,89.0,2018-01-14,F,65000.0,2018,255.0
5404741ead9442bdbd4b9aa2273e85af,,0.0,0.0,1.0,0.0,,,,,,24.93,12.466,0.4931780986762936,49.0,2018-05-18,F,79000.0,2018,131.0
81e9ad5fa55a4884b65e01a5db8f1b4e,1.0,,,,,,,,1.0,,317.03,17.613777777777777,0.27766151468315303,79.0,2016-06-27,M,67000.0,2016,821.0
b2f1cd155b864803ad8334cdf13c4bd2,,,1.0,,,,1.0,0.0,,,195.35000000000002,24.419750000000004,0.12667187100076785,55.0,2017-10-16,F,94000.0,2017,345.0
37a97f6e09784a07bbb67bc6539f1a00,1.0,,1.0,,,,,,,,272.22999999999996,14.328894736842102,0.04798233111707013,55.0,2017-12-03,M,66000.0,2017,297.0
77927096ab4144fa930b4cadd4773cc2,,0.0,,,,,,0.0,0.0,,16.459999999999997,3.2929999999999993,0.001,45.0,2017-10-07,M,31000.0,2017,354.0
acbc358a8bf44ba88d0de1f2bec5b2ab,,,,,,,,,0.0,,9.8,1.961,0.001,52.0,2018-01-30,M,30000.0,2018,239.0
8ca29d07b300474786a6016fe76174dd,,1.0,,,,,,,,,156.54,17.394333333333332,0.21934674843490481,39.0,2016-04-04,M,55000.0,2016,905.0
88baa20c29a94178a43a7d68e5f039d4,,0.0,,,,,,0.0,,,60.25,20.084333333333333,0.001,77.0,2018-07-02,M,69000.0,2018,86.0
a2bd377c7ab74d93bbfd87f70043a9f8,0.0,,,,,1.0,,1.0,,,30.9,5.151,0.25083818770226535,66.0,2018-07-09,M,60000.0,2018,79.0
23f9e3baf42b43148fee9bbbc3530c7a,,,,1.0,0.0,,,,0.5,,53.21,26.606,1.001,69.0,2017-09-27,F,87000.0,2017,364.0
8486e692a5f94d179d507eaca848ecbd,0.0,,,,,,1.0,,,,55.13,13.7835,0.3949778704879376,74.0,2014-08-20,M,53000.0,2014,1498.0
49f22e86d2db41878778d70958dc744e,,,,,1.0,1.0,1.0,,0.0,1.0,114.70000000000002,22.941000000000006,0.6411918047079336,75.0,2018-07-12,F,87000.0,2018,76.0
28de174a5c854dd1be3187dc6edae45b,,,,,,,1.0,1.0,1.0,0.0,193.10000000000002,27.58671428571429,0.3591046090108752,59.0,2015-09-09,F,85000.0,2015,1113.0
a1eb338ccbca4cc88c9366939f16d819,1.0,,0.0,,,,,,,1.0,74.17,14.834999999999999,0.4924385870297964,47.0,2013-12-30,M,66000.0,2013,1731.0
220a39cdfd6b41268c43a2e588fcb7e0,,,,,,0.0,,,0.0,,0.87,0.871,0.001,20.0,2018-05-28,M,69000.0,2018,121.0
0c89378f14804b42b6e63e4dc26e8d3e,,,,1.0,,0.0,1.0,0.0,,,127.28,31.821,0.3893563796354494,60.0,2017-04-26,M,108000.0,2017,518.0
464d2302b99b46ad8eb3e42e1b849c24,,,,,,1.0,1.0,,,,24.0,4.001,0.9439166666666666,65.0,2018-03-15,M,61000.0,2018,195.0
3f36bc1d5fc0499b9f96f62348f0f9b0,,,,,,,1.0,,,,19.78,2.4735,0.5318392315470172,33.0,2015-04-21,M,43000.0,2015,1254.0
fe97aa22dd3e48c8b143116a8403dd52,,,0.6666666666666666,,,,,1.0,,,562.77,51.161909090909084,0.001,39.0,2017-12-17,F,67000.0,2017,283.0
dbca75f289544e09836322ba2e104854,,,,,,,,,1.0,0.0,38.260000000000005,6.377666666666668,0.3418259278619968,49.0,2018-06-02,M,59000.0,2018,116.0
c863af14b3654499b1caea5e640136d2,0.0,,,,0.0,0.0,0.0,1.0,,,17.19,8.596,0.001,68.0,2018-02-07,M,58000.0,2018,231.0
d7dc31e069124ef49e1bb937cb89f41c,,1.0,0.0,,,,,0.0,,,53.74000000000001,17.91433333333334,0.2484879047264607,42.0,2017-02-09,M,80000.0,2017,594.0
1827da57bb924833a6f73c79b5f2bbc5,,0.0,,,,,0.0,,0.0,,8.14,1.629,0.001,72.0,2018-06-01,M,33000.0,2018,117.0
721eb06ac285463aa6e1184e0ea9b7f0,,,,0.0,,1.0,,,,,30.470000000000002,3.048,0.47884706268460775,18.0,2017-05-24,F,49000.0,2017,490.0
d594b1f288674594a02c8527e5837ade,,,,,,,,,,,71.19,10.171,0.001,32.0,2018-06-28,F,42000.0,2018,90.0
0f54094029ca4107bfd36203aeb3ed14,,0.0,0.0,,,1.0,,0.0,,0.0,33.07,11.024333333333333,0.2867574841245842,67.0,2017-08-28,M,50000.0,2017,394.0
5f18c5754dc04baaa1267c823f877a85,,,,,,0.0,,1.0,,,5.4,1.801,0.001,52.0,2018-07-04,M,42000.0,2018,84.0
d8567f1400d8486cb31c6abba64389ec,1.0,,,,,,,,,,150.94,16.772111111111112,0.1835228567642772,38.0,2017-10-19,M,64000.0,2017,342.0
30fae86966114f6e83c3043b22b6b7c4,1.0,0.0,,,,1.0,1.0,,,,106.91,21.383,0.6991573285941446,60.0,2018-03-16,F,77000.0,2018,194.0
fd700397b7c8440baa70d5539926c5a0,,1.0,,,,,0.0,,0.0,,33.46,16.731,0.6214423191870891,62.0,2017-12-22,F,77000.0,2017,278.0
4293153650e04742b310ac06cd3810e9,,,,1.0,0.0,,,1.0,,0.0,25.9,12.950999999999999,0.536907335907336,55.0,2018-07-08,F,51000.0,2018,80.0
2ce2e03319c7446ca9c379b4589da19b,0.0,0.0,,,,,0.0,0.0,0.0,,19.799999999999997,3.3009999999999993,0.001,22.0,2018-04-28,M,63000.0,2018,151.0
4d15a2a5ac134c58971b910b859bec24,,1.0,,,,,1.0,,,,118.41,10.765545454545453,0.2338350646060299,34.0,2017-12-06,M,41000.0,2017,294.0
127cd9d95e6247e5b92bff64d6205a94,0.0,,,,,,1.0,,0.5,,105.58000000000001,4.061769230769231,0.23305152491002082,46.0,2014-12-14,M,60000.0,2014,1382.0
4e233f02eff840c7a3e5ec15d55d7d23,,,,,,1.0,0.0,,,,22.18,4.437,0.5460856627592425,85.0,2018-07-26,M,67000.0,2018,62.0
3ecb372184104ff7bad0f0f60cb56e29,,,1.0,,,,,0.0,,,180.0,22.501,0.001,51.0,2017-03-16,F,85000.0,2017,559.0
8a37057f57c4495fb98dfcc8b909b09f,,,,1.0,,,1.0,1.0,,,177.09,22.13725,0.17639104410186912,53.0,2016-04-27,F,85000.0,2016,882.0
11da2f066d3943699d10b61fd276fd1a,,,,,1.0,,1.0,,1.0,,330.9200000000001,22.06233333333334,0.37819086183971945,51.0,2016-08-10,M,92000.0,2016,777.0
21b02228cd4441b49bf0b5ff046f4b75,0.0,0.0,,,,1.0,,,,1.0,58.18,3.233222222222222,0.409903403231351,48.0,2015-06-01,M,44000.0,2015,1213.0
629fc02d56414d91bca360decdfa9288,,,,1.0,0.5,,,0.0,,1.0,66.05,22.017666666666667,1.001,52.0,2018-06-05,M,72000.0,2018,113.0
c87b50fcdd4a4d2faacff6112243a8dd,1.0,,1.0,,,,,,,,125.55999999999999,12.556999999999999,0.11775692895826698,62.0,2016-03-05,M,53000.0,2016,935.0
91dc71c4e9bd45b0861825c32f5ee8f9,,,,,,,0.0,,,,12.120000000000001,3.031,0.001,42.0,2018-03-25,M,62000.0,2018,185.0
3bd5ba038a5c46cc94e8cd5e5739c967,0.0,0.0,1.0,,,,,,,,16.689999999999998,2.385285714285714,0.001,55.0,2017-10-25,M,65000.0,2017,336.0
92214286965d4eb1ad14dc8b0b04a20f,,1.0,,,,,,1.0,0.0,,89.78,11.2235,0.17988171084874138,27.0,2015-09-15,F,50000.0,2015,1107.0
37155a5f4ff248529399c95472186879,,,,,,1.0,0.0,,,,253.71999999999997,31.715999999999998,0.08873451048399812,68.0,2018-05-30,M,107000.0,2018,119.0
c84fe4915ef74c7f9e81b003d3ecf54c,,,,,,,,,0.0,,25.69,25.691000000000003,0.001,74.0,2017-12-20,F,83000.0,2017,280.0
041fd7c6b796430a867c4e03d2ff8f4d,,,,,1.0,1.0,1.0,,,,87.13,3.352153846153846,0.37010363824170783,77.0,2014-10-11,M,66000.0,2014,1446.0
9e91e04b9a344f4e948728bf127967b6,,,,,,,,,1.0,,261.56,18.683857142857143,0.12869536626395472,35.0,2018-01-18,M,72000.0,2018,251.0
348bdc19d65f49b8b98f72c59e64cd89,1.0,,1.0,,,,1.0,1.0,,1.0,184.96,18.497000000000003,0.3103101211072664,50.0,2017-11-08,F,69000.0,2017,322.0
c74beaa959a742309ba8350b7d472676,1.0,,0.5,,1.0,,,,,,162.90999999999997,27.15266666666666,0.36948566693266227,45.0,2015-10-27,M,94000.0,2015,1065.0
c79da41557894c7eacc5c0156dc1f4dc,,,1.0,,,,,,,,155.64,19.456,0.001,82.0,2016-12-31,M,87000.0,2016,634.0
8cc1a1bd309842bfaafd4483d994579b,,,1.0,,,1.0,,0.0,,,79.94999999999999,19.9885,0.23176923076923078,40.0,2013-12-22,M,57000.0,2013,1739.0
